建发股份,SH600153,12.33
奥维通信,SZ002231,7.63
内地消费,SZ399942,5388.29
亿通科技,SZ300211,6.22
赫美集团,SZ002356,26.82
人人乐,SZ002336,13.91
亿利达,SZ002686,10.11
宝泰隆,SH601011,7.23
*ST昌鱼,SH600275,4.33
新劲刚,SZ300629,41.69
三环集团,SZ300408,21.82
天山股份,SZ000877,10.17
济川药业,SH600566,41.7
小康股份,SH601127,17.55
新华都,SZ002264,7.37
ST常林,SH600710,5.91
新通联,SH603022,9.92
金螳螂,SZ002081,13.96
西藏矿业,SZ000762,12.96
上海临港,SH600848,21.92
四川金顶,SH600678,8.94
宏达股份,SH600331,4.49
白云机场,SH600004,15.93
华铭智能,SZ300462,17.47
天汽模,SZ002510,5.01
神火股份,SZ000933,7.5
迪贝电气,SH603320,19.52
大同煤业,SH601001,5.99
南纺股份,SH600250,7.52
浪莎股份,SH600137,20.09
量子高科,SZ300149,14.15
许继电气,SZ000400,11.13
大元泵业,SH603757,52.47
广信股份,SH603599,16.68
上柴股份,SH600841,12.15
鲁西化工,SZ000830,21.28
五粮液,SZ000858,76.6
祁连山,SH600720,10.72
内地农业,SZ399949,4380.39
贝瑞基因,SZ000710,39.99
得利斯,SZ002330,8.26
熙菱信息,SZ300588,25.31
一汽轿车,SZ000800,10.37
永悦科技,SH603879,13.45
马钢股份,SH600808,4.14
国电南自,SH600268,4.65
京新药业,SZ002020,10.48
大冶特钢,SZ000708,10.96
300有色,SH000850,3998.2
海陆重工,SZ002255,6.32
冀东水泥,SZ000401,11.55
瀚蓝环境,SH600323,13.63
纳思达,SZ002180,26.4
正邦科技,SZ002157,4.75
华孚时尚,SZ002042,11.62
泸州老窖,SZ000568,59.3
火炬电子,SH603678,24.28
展鹏科技,SH603488,17.4
海南高速,SZ000886,5.78
海南矿业,SH601969,7.33
安彩高科,SH600207,7.0
长春经开,SH600215,10.3
天泽信息,SZ300209,16.34
花王股份,SH603007,12.4
星星科技,SZ300256,6.37
太钢不锈,SZ000825,6.7
盛弘股份,SZ300693,27.8
中石科技,SZ300684,43.51
和顺电气,SZ300141,9.23
成飞集成,SZ002190,21.44
罗牛山,SZ000735,7.47
御家汇,SZ300740,44.76
威唐工业,SZ300707,39.49
盈趣科技,SZ002925,96.03
中宠股份,SZ002891,32.56
万马股份,SZ002276,7.48
珠江控股,SZ000505,8.03
海汽集团,SH603069,9.9
天华院,SH600579,9.35
海南椰岛,SH600238,7.92
海峡股份,SZ002320,20.37
威华股份,SZ002240,14.89
动力源,SH600405,5.63
罗顿发展,SH600209,8.28
国创高新,SZ002377,7.41
江南嘉捷,SH601313,63.24
海航创新,SH600555,3.43
海南橡胶,SH601118,5.65
中房股份,SH600890,11.09
三夫户外,SZ002780,17.87
海德股份,SZ000567,25.5
九有股份,SH600462,4.24
奥特迅,SZ002227,16.4
利尔化学,SZ002258,21.39
特锐德,SZ300001,13.15
通合科技,SZ300491,15.07
方大特钢,SH600507,19.25
海创B股,SH900955,0.368
英飞特,SZ300582,15.98
中昌数据,SH600242,14.89
中恒电气,SZ002364,8.32
宝莱特,SZ300246,17.17
东阳光科,SH600673,8.49
维科精华,SH600152,5.97
赣锋锂业,SZ002460,66.38
乐视网,SZ300104,4.42
金花股份,SH600080,8.36
鸿博股份,SZ002229,9.41
北部湾港,SZ000582,8.69
中富通,SZ300560,24.84
三星新材,SH603578,37.29
石英股份,SH603688,12.82
珠江B,SZ200505,5.39
华东重机,SZ002685,9.1
共达电声,SZ002655,8.78
中南文化,SZ002445,12.64
精研科技,SZ300709,55.64
希努尔,SZ002485,26.5
亚太实业,SZ000691,6.25
钧达股份,SZ002865,16.1
大东南,SZ002263,2.71
华测检测,SZ300012,3.91
创新股份,SZ002812,104.94
安纳达,SZ002136,15.88
金鹰股份,SH600232,6.15
金石资源,SH603505,19.86
中体产业,SH600158,11.15
鞍钢股份,SZ000898,7.21
太龙照明,SZ300650,33.87
风华高科,SZ000636,11.27
步长制药,SH603858,51.0
*ST德力,SZ002571,5.81
ST云维,SH600725,2.7
